hidden_size,num_layers,learning_rate,Val Loss
64,2,0.0001,33.18
64,2,0.001,31.34
64,2,0.01,31.45
64,4,0.0001,32.84
64,4,0.001,157.22
64,4,0.01,156.78
64,6,0.0001,32.96
64,6,0.001,158.66
64,6,0.01,160.24
128,2,0.0001,31.21
128,2,0.001,26.56
128,2,0.01,142.11
128,4,0.0001,30.49
128,4,0.001,148.81
128,4,0.01,148.48
128,6,0.0001,31.35
128,6,0.001,148.35
128,6,0.01,156.93
256,2,0.0001,29.86
256,2,0.001,29.74
256,2,0.01,142.73
256,4,0.0001,29.98
256,4,0.001,161.20
256,4,0.01,152.14
256,6,0.0001,30.86
256,6,0.001,155.57
256,6,0.01,148.25
